time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.013550,0.272000,0.234020,0.154641,6.321240,6.321240,0.269828,1,0.000050
0.013600,0.273000,0.234973,0.155125,6.164106,6.164106,0.263301,1,0.000050
0.013650,0.274000,0.235926,0.155610,6.000889,6.000889,0.256521,1,0.000050
0.013700,0.275000,0.236879,0.156094,5.831749,5.831749,0.249493,1,0.000050
0.013750,0.276000,0.237832,0.156579,5.656854,5.656854,0.242226,1,0.000050
0.013800,0.277000,0.238786,0.157064,5.476377,5.476377,0.234727,1,0.000050
0.013850,0.278000,0.239740,0.157548,5.290495,5.290495,0.227002,1,0.000050
0.013900,0.279000,0.240694,0.158033,5.099392,5.099392,0.219059,1,0.000050
0.013950,0.280000,0.241648,0.158518,4.903256,4.903256,0.210907,1,0.000050
0.014000,0.281000,0.242603,0.159003,4.702282,4.702282,0.202554,1,0.000050
0.014050,0.282000,0.243557,0.159488,4.496667,4.496667,0.194006,1,0.000050
0.014100,0.283000,0.244512,0.159973,4.286614,4.286614,0.185274,1,0.000050
0.014150,0.284000,0.245467,0.160458,4.072331,4.072331,0.176366,1,0.000050
0.014200,0.285000,0.246423,0.160944,3.854029,3.854029,0.167291,1,0.000050
0.014250,0.286000,0.247378,0.161429,3.631924,3.631924,0.158056,1,0.000050
0.014300,0.287000,0.248334,0.161914,3.406234,3.406234,0.148673,1,0.000050
0.014350,0.288000,0.249290,0.162400,3.177183,3.177183,0.139149,1,0.000050
0.014400,0.289000,0.250246,0.162885,2.944996,2.944996,0.129495,1,0.000050
0.014450,0.290000,0.251202,0.163371,2.709903,2.709903,0.119720,1,0.000050
0.014500,0.291000,0.252158,0.163856,2.472136,2.472136,0.109833,1,0.000050
0.014550,0.292000,0.253115,0.164342,2.231929,2.231929,0.099845,1,0.000050
0.014600,0.293000,0.254071,0.164828,1.989519,1.989519,0.089764,1,0.000050
0.014650,0.294000,0.255028,0.165313,1.745146,1.745146,0.079602,1,0.000050
0.014700,0.295000,0.255986,0.165799,1.499051,1.499051,0.069369,1,0.000050
0.014750,0.296000,0.256943,0.166285,1.251476,1.251476,0.059073,1,0.000050
0.014800,0.297000,0.257900,0.166771,1.002666,1.002666,0.048727,1,0.000050
0.014850,0.298000,0.258858,0.167257,0.752867,0.752867,0.038338,1,0.000050
0.014900,0.299000,0.259816,0.167743,0.502324,0.502324,0.027919,1,0.000050
0.014950,0.300000,0.260774,0.168229,0.251286,0.251286,0.017480,1,0.000050
0.015000,0.301000,0.261732,0.168715,-0.000000,-0.000000,0.007030,1,0.000050
0.015050,0.302000,0.262690,0.169202,-0.251286,-0.251286,-0.003420,1,0.000050
0.015100,0.303000,0.263649,0.169688,-0.502324,-0.502324,-0.013860,1,0.000050
0.015150,0.304000,0.264608,0.170174,-0.752867,-0.752867,-0.024279,1,0.000050
0.015200,0.305000,0.265567,0.170661,-1.002666,-1.002666,-0.034667,1,0.000050
0.015250,0.306000,0.266526,0.171147,-1.251476,-1.251476,-0.045014,1,0.000050
0.015300,0.307000,0.267485,0.171634,-1.499051,-1.499051,-0.055309,1,0.000050
0.015350,0.308000,0.268445,0.172120,-1.745146,-1.745146,-0.065543,1,0.000050
0.015400,0.309000,0.269404,0.172607,-1.989519,-1.989519,-0.075705,1,0.000050
0.015450,0.310000,0.270364,0.173094,-2.231929,-2.231929,-0.085785,1,0.000050
0.015500,0.311000,0.271324,0.173581,-2.472136,-2.472136,-0.095773,1,0.000050
0.015550,0.312000,0.272284,0.174067,-2.709903,-2.709903,-0.105660,1,0.000050
0.015600,0.313000,0.273244,0.174554,-2.944996,-2.944996,-0.115435,1,0.000050
0.015650,0.314000,0.274205,0.175041,-3.177183,-3.177183,-0.125089,1,0.000050
0.015700,0.315000,0.275165,0.175528,-3.406234,-3.406234,-0.134613,1,0.000050
0.015750,0.316000,0.276126,0.176015,-3.631924,-3.631924,-0.143996,1,0.000050
0.015800,0.317000,0.277087,0.176502,-3.854029,-3.854029,-0.153230,1,0.000050
0.015850,0.318000,0.278048,0.176990,-4.072331,-4.072331,-0.162306,1,0.000050
0.015900,0.319000,0.279010,0.177477,-4.286614,-4.286614,-0.171214,1,0.000050
